username,full_name,followers,following,posts,is_private,is_verified,biography,timestamp
senwhitehouse,US Senator Sheldon Whitehouse,267345,289,1064,False,True,"U.S. Senator for Rhode Island, the Ocean State. Ranking Member @epwcmte",2025-12-08 23:31:16
senatorwicker,Senator Roger Wicker,15440,559,1970,False,True,U.S. Senator for Mississippi // Twitter: @senatorwicker,2025-12-08 23:31:26
sensusancollins,Senator Susan Collins,23942,87,1090,False,True,United States Senator from Maine,2025-12-08 23:31:36
mcconnellpress,Senator Mitch McConnell,13822,57,523,False,True,The #Kentucky press office for U.S. Senate Republican Leader Mitch McConnell @LeaderMcConnell #KYinDC,2025-12-08 23:31:47
senjeffmerkley,Senator Jeff Merkley,172212,439,1453,False,True,"As Oregon's United States Senator, I fight every day for working families.",2025-12-08 23:31:59
senatorshaheen,Jeanne Shaheen,14254,192,966,False,True,Proudly serving Granite Staters in the U.S. Senate. Mother & Grandmother. Former Governor. Pats & Sox fan. Outdoor enthusiast.,2025-12-08 23:32:10
senatorwarner,Mark R. Warner,85092,3666,2103,False,True,"Serving Virginia in the U.S. Senate
Vice Chairman, Senate Intel Committee
Dad | Husband | Entrepreneur | 69th Governor of VA",2025-12-08 23:32:19
senkirstengillibrand,Sen. Kirsten Gillibrand,18487,77,962,False,True,"Proudly serving the people of New York in the U.S. Senate. Married to Jonnie, mom to Theo, Henry, and our labradoodle, Maple. Official account.",2025-12-08 23:32:30
senatorchriscoons,U.S. Senator Chris Coons,47679,1178,2069,False,True,"Father, husband, U.S. Senator from Delaware",2025-12-08 23:32:42
senatorbaldwin,Senator Tammy Baldwin,40141,166,949,False,True,"Official Instagram account of United States Senator Tammy Baldwin, proudly working for the State of Wisconsin.",2025-12-08 23:32:53
gusbilirakis,Congressman Gus Bilirakis,4642,282,1638,False,True,"Proudly representing Florida’s 12th Congressional District 🇺🇸 
ChildOnlineProtection@mail.house.gov",2025-12-08 23:33:20
marshablackburn,Sen. Marsha Blackburn,150712,251,1036,False,True,I am honored to serve the people of Tennessee in the United States Senate.,2025-12-08 23:33:31
senblumenthal,Senator Richard Blumenthal,52786,108,610,False,True,"Sworn in on January 5, 2011, Richard Blumenthal is serving his third term as Senior US Senator from the great state of Connecticut.",2025-12-08 23:33:40
